trade_date,currency_sold,currency_bought,amount_sold,amount_bought,counterparty,fee_amount,fee_currency,reference
2025-07-02,USD,EUR,6200000,5692000,Goldman Sachs,3000,USD,EUR-2025-001
2025-07-09,EUR,GBP,4500000,3870000,Deutsche Bank,1800,EUR,EUR-2025-002
2025-07-16,USD,CHF,3800000,3382000,UBS,1520,USD,EUR-2025-003
2025-07-23,USD,EUR,8900000,8177200,BNP Paribas,4300,USD,EUR-2025-004
2025-07-30,CHF,EUR,2200000,2508000,Credit Suisse,880,CHF,EUR-2025-005
2025-08-06,USD,GBP,5100000,3997800,Goldman Sachs,2450,USD,EUR-2025-006
2025-08-13,EUR,CHF,3300000,3168000,UBS,1320,EUR,EUR-2025-007
2025-08-20,USD,EUR,11500000,10557500,Deutsche Bank,5520,USD,EUR-2025-008
2025-08-27,USD,CHF,4700000,4183000,Credit Suisse,1880,USD,EUR-2025-009
2025-09-03,EUR,GBP,7200000,6192000,BNP Paribas,2880,EUR,EUR-2025-010
2025-09-10,USD,EUR,9300000,8556000,Goldman Sachs,4470,USD,EUR-2025-011
2025-09-17,CHF,USD,5500000,6215000,UBS,2200,CHF,EUR-2025-012
2025-09-24,USD,GBP,7800000,6115200,Deutsche Bank,3740,USD,EUR-2025-013
2025-10-01,EUR,CHF,4100000,3936000,Credit Suisse,1640,EUR,EUR-2025-014
2025-10-08,USD,EUR,13200000,12122400,BNP Paribas,6340,USD,EUR-2025-015
2025-10-15,USD,CHF,6300000,5607000,Goldman Sachs,3020,USD,EUR-2025-016
2025-10-22,EUR,GBP,5800000,4988000,Deutsche Bank,2320,EUR,EUR-2025-017
2025-10-29,USD,EUR,7600000,6983200,UBS,3650,USD,EUR-2025-018
2025-11-05,CHF,EUR,3900000,4446000,Credit Suisse,1560,CHF,EUR-2025-019
2025-11-12,USD,GBP,10500000,8232000,Goldman Sachs,5040,USD,EUR-2025-020
2025-11-19,USD,EUR,14800000,13598400,BNP Paribas,7110,USD,EUR-2025-021
2025-11-26,EUR,CHF,6200000,5952000,Deutsche Bank,2480,EUR,EUR-2025-022
2025-12-03,USD,CHF,8100000,7209000,UBS,3890,USD,EUR-2025-023
2025-12-10,USD,EUR,16500000,15180000,Goldman Sachs,7920,USD,EUR-2025-024
2025-12-17,EUR,GBP,9300000,7998000,BNP Paribas,3720,EUR,EUR-2025-025
