trade_date,currency_sold,currency_bought,amount_sold,amount_bought,counterparty,fee_amount,fee_currency,reference
2025-04-03,MXN,USD,45000000,2430000,BBVA Mexico,1800,USD,LAT-2025-001
2025-04-10,MXN,USD,62000000,3348000,Santander,2500,USD,LAT-2025-002
2025-04-17,BRL,USD,18500000,3515000,Itau BBA,1400,USD,LAT-2025-003
2025-04-24,MXN,USD,38000000,2052000,HSBC Mexico,1540,USD,LAT-2025-004
2025-05-01,BRL,USD,24000000,4560000,Bradesco BBI,1900,USD,LAT-2025-005
2025-05-08,MXN,USD,75000000,4050000,BBVA Mexico,3000,USD,LAT-2025-006
2025-05-15,BRL,USD,31000000,5890000,Itau BBA,2300,USD,LAT-2025-007
2025-05-22,MXN,USD,52000000,2808000,Santander,2100,USD,LAT-2025-008
2025-05-29,CLP,USD,4200000000,4494000,BCI Chile,1700,USD,LAT-2025-009
2025-06-05,MXN,USD,88000000,4752000,BBVA Mexico,3500,USD,LAT-2025-010
2025-06-12,BRL,USD,27000000,5130000,Bradesco BBI,2050,USD,LAT-2025-011
2025-06-19,MXN,USD,43000000,2322000,HSBC Mexico,1720,USD,LAT-2025-012
2025-06-26,CLP,USD,6500000000,6955000,BCI Chile,2600,USD,LAT-2025-013
2025-07-03,MXN,USD,67000000,3618000,Santander,2680,USD,LAT-2025-014
2025-07-10,BRL,USD,19500000,3705000,Itau BBA,1480,USD,LAT-2025-015
2025-07-17,MXN,USD,95000000,5130000,BBVA Mexico,3800,USD,LAT-2025-016
2025-07-24,BRL,USD,35000000,6650000,Bradesco BBI,2600,USD,LAT-2025-017
2025-07-31,MXN,USD,71000000,3834000,HSBC Mexico,2840,USD,LAT-2025-018
2025-08-07,CLP,USD,8100000000,8667000,BCI Chile,3200,USD,LAT-2025-019
2025-08-14,MXN,USD,59000000,3186000,Santander,2360,USD,LAT-2025-020
